MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,Bikebought,CustomerKey
S,M,60000,2,1,Partial College,Professional,1,2,0,11214
M,F,40000,2,1,Partial High School,Skilled Manual,1,2,0,11215
S,F,60000,2,1,Partial College,Professional,1,2,1,11216
S,F,60000,2,1,Partial College,Professional,1,2,1,11217
S,F,60000,2,1,Partial College,Professional,0,2,0,11218
M,M,60000,2,1,High School,Professional,1,2,0,11219
M,F,60000,2,1,Partial College,Professional,1,1,0,11220
M,M,70000,4,2,Partial College,Professional,1,1,0,11221
M,F,80000,3,1,Bachelors,Management,1,1,0,11222
S,F,70000,2,1,High School,Professional,1,2,0,11223
S,F,70000,2,1,High School,Professional,1,2,1,11224
M,F,60000,2,1,Partial College,Professional,1,1,0,11225
M,F,60000,2,1,Partial College,Professional,1,1,0,11226
S,M,60000,2,1,Partial College,Professional,1,2,1,11227
M,F,60000,2,1,Partial College,Professional,1,2,0,11228
S,M,70000,4,2,Partial College,Professional,1,1,0,11229
M,F,70000,4,2,Partial College,Professional,0,2,0,11230
M,M,60000,2,1,High School,Professional,1,2,0,11231
M,F,60000,3,1,High School,Professional,0,2,0,11232
M,M,70000,4,2,Partial College,Professional,1,2,0,11233
S,F,70000,4,2,Partial College,Professional,1,2,0,11234
M,M,70000,4,2,Partial College,Professional,1,2,0,11235
S,M,70000,5,2,Partial College,Professional,1,2,0,11236
S,M,130000,2,3,Bachelors,Management,0,4,1,11237
S,F,130000,2,3,Bachelors,Management,0,4,1,11238
M,F,130000,2,4,Partial College,Professional,0,2,1,11239
M,F,160000,2,3,Partial College,Professional,1,4,1,11240
S,F,100000,2,3,Partial College,Professional,1,4,1,11241
M,M,110000,2,4,Partial College,Professional,1,3,1,11242
M,F,150000,2,3,Partial College,Professional,1,3,1,11243
S,F,170000,2,3,Bachelors,Management,0,3,1,11244
M,M,120000,3,4,High School,Professional,0,4,1,11245
M,F,120000,3,4,High School,Professional,0,4,1,11246
S,F,130000,3,4,Partial College,Professional,0,3,1,11247
M,M,110000,3,4,Partial College,Professional,1,4,0,11248
M,F,130000,3,4,Partial College,Professional,1,3,1,11249
M,F,170000,3,4,High School,Professional,1,2,1,11250
S,M,30000,4,0,High School,Professional,0,2,1,11251
S,M,90000,3,0,Graduate Degree,Management,1,1,1,11252
M,M,60000,2,0,Graduate Degree,Management,1,2,0,11253
M,M,70000,4,0,Graduate Degree,Management,1,2,0,11254
M,M,70000,4,0,Graduate Degree,Management,1,2,0,11255
M,F,70000,4,0,Graduate Degree,Management,1,2,0,11256
S,F,120000,1,2,Graduate Degree,Management,1,4,1,11257
M,M,120000,1,2,Graduate Degree,Management,1,4,0,11258
M,F,100000,4,1,Partial College,Professional,1,4,1,11259
M,F,110000,2,2,Bachelors,Management,1,3,0,11260
M,F,130000,1,2,Graduate Degree,Management,1,1,1,11261
M,F,80000,4,3,Bachelors,Management,1,0,0,11262
M,F,90000,5,5,Partial College,Professional,1,3,1,11263
S,M,90000,5,5,Partial College,Professional,0,3,1,11264
M,F,90000,5,5,Partial College,Professional,1,3,1,11265
S,F,90000,0,0,Partial College,Professional,0,1,1,11266
S,M,120000,4,2,Partial College,Professional,1,4,1,11267
M,F,130000,2,2,Graduate Degree,Management,1,2,0,11268
M,M,130000,2,2,Graduate Degree,Management,1,2,0,11269
M,M,130000,2,2,Graduate Degree,Management,1,3,1,11270
S,F,150000,2,0,Bachelors,Management,0,4,1,11271
S,F,70000,4,3,Partial College,Professional,1,0,1,11272
M,M,90000,2,1,Partial College,Professional,1,0,0,11273
M,M,50000,2,0,Graduate Degree,Management,1,2,1,11274
M,F,80000,4,0,Graduate Degree,Management,1,2,1,11275
M,F,80000,4,3,Partial College,Professional,1,2,0,11276
M,M,80000,4,3,Partial College,Professional,1,2,0,11277
S,M,90000,0,0,Partial College,Professional,0,1,1,11278
M,F,90000,0,0,Partial College,Professional,1,1,0,11279
M,M,90000,0,0,Partial College,Professional,1,1,0,11280
S,F,110000,4,2,Bachelors,Management,1,4,1,11281
M,M,90000,5,4,Partial College,Professional,1,4,1,11282
M,M,110000,1,3,Bachelors,Management,1,2,0,11283
M,F,110000,1,3,Bachelors,Management,1,2,0,11284
M,M,120000,1,3,Partial College,Professional,0,4,0,11285
M,M,170000,0,0,Graduate Degree,Management,1,4,1,11286
M,M,70000,5,4,Partial College,Professional,0,3,0,11287
M,F,110000,1,3,Bachelors,Management,1,3,0,11288
M,F,130000,1,3,Bachelors,Management,1,1,1,11289
M,F,130000,1,3,Bachelors,Management,1,3,1,11290
M,F,130000,1,3,Bachelors,Management,1,3,1,11291
S,M,150000,1,2,Partial College,Professional,0,3,1,11292
S,M,60000,2,0,High School,Professional,0,2,0,11293
M,M,60000,2,0,High School,Professional,0,2,0,11294
S,F,80000,2,0,Partial High School,Skilled Manual,1,2,1,11295
S,F,50000,2,0,Graduate Degree,Management,1,2,1,11296
S,M,70000,4,0,Graduate Degree,Management,1,2,1,11297
M,M,70000,4,0,Graduate Degree,Management,1,2,1,11298
M,M,70000,4,0,Graduate Degree,Management,1,2,1,11299
M,M,80000,5,4,Partial College,Professional,0,3,0,11300
M,M,80000,5,4,Partial College,Professional,1,4,0,11301
S,M,90000,4,3,High School,Professional,0,3,1,11302
S,F,90000,4,3,High School,Professional,0,3,1,11303
M,F,100000,0,3,Partial College,Professional,1,0,0,11304
M,M,110000,3,3,Partial College,Professional,0,4,0,11305
M,M,110000,3,3,Partial College,Professional,0,4,0,11306
M,M,80000,2,0,Partial High School,Skilled Manual,1,2,1,11307
M,M,60000,2,0,High School,Professional,0,2,0,11308
S,F,60000,2,0,High School,Professional,1,2,0,11309
S,F,70000,3,0,Graduate Degree,Management,1,2,0,11310
S,F,70000,3,0,Graduate Degree,Management,0,2,0,11311
S,F,70000,3,0,Graduate Degree,Management,1,2,0,11312
S,M,70000,3,0,Graduate Degree,Management,1,2,0,11313
S,F,70000,3,0,Graduate Degree,Management,0,2,0,11314
S,F,70000,3,0,Graduate Degree,Management,0,2,0,11315
M,M,60000,3,0,Graduate Degree,Management,1,2,1,11316
S,F,40000,3,0,Partial College,Professional,0,2,1,11317
S,F,40000,3,0,Partial College,Professional,0,2,0,11318
M,F,70000,4,0,Graduate Degree,Management,0,2,1,11319
M,F,80000,4,0,Graduate Degree,Management,1,2,0,11320
M,M,90000,5,0,Bachelors,Management,1,2,0,11321
M,F,90000,5,0,Bachelors,Management,1,2,0,11322
S,M,120000,2,4,Graduate Degree,Management,1,3,1,11323
M,M,90000,5,0,Bachelors,Management,1,2,1,11324
S,M,90000,5,0,Bachelors,Management,1,2,1,11325
M,M,130000,2,3,Bachelors,Management,1,4,1,11326
M,M,90000,5,0,Bachelors,Management,1,2,1,11327
M,M,90000,5,0,Bachelors,Management,1,2,1,11328
S,M,90000,5,0,Bachelors,Management,1,2,1,11329
M,M,110000,2,4,Graduate Degree,Management,1,1,0,11330
M,F,90000,4,4,Partial College,Skilled Manual,1,2,0,11331
S,F,10000,1,0,Graduate Degree,Manual,1,0,1,11332
M,F,20000,1,0,Graduate Degree,Clerical,1,0,1,11333
M,F,10000,1,0,Bachelors,Manual,1,0,1,11334
M,F,10000,1,0,Bachelors,Manual,1,0,1,11335
M,M,20000,1,0,Graduate Degree,Clerical,1,0,1,11336
M,M,10000,1,0,Bachelors,Manual,1,0,1,11337
M,M,20000,1,0,Graduate Degree,Clerical,1,0,1,11338
S,M,20000,1,0,Graduate Degree,Clerical,1,0,1,11339
M,F,10000,1,0,Graduate Degree,Clerical,1,0,1,11340
M,M,20000,1,0,Graduate Degree,Clerical,1,0,1,11341
M,M,30000,5,0,Graduate Degree,Clerical,1,0,0,11342
M,M,10000,1,0,Bachelors,Manual,1,0,1,11343
M,F,10000,1,0,Partial College,Manual,1,0,1,11344
S,F,10000,1,0,Partial College,Manual,1,0,1,11345
S,F,10000,2,0,Partial College,Manual,1,1,1,11346
M,M,10000,2,0,Partial College,Manual,1,1,0,11347
M,M,10000,2,0,Partial College,Manual,1,1,0,11348
M,F,10000,2,0,Partial College,Manual,1,1,0,11349
M,F,30000,1,0,Graduate Degree,Clerical,1,0,0,11350
S,F,20000,1,0,Bachelors,Clerical,1,0,1,11351
M,M,10000,2,0,Partial College,Manual,1,1,0,11352
S,F,30000,1,0,Bachelors,Clerical,1,0,1,11353
M,F,20000,1,0,Partial College,Manual,1,0,0,11354
M,M,40000,1,0,Graduate Degree,Clerical,1,0,0,11355
S,M,10000,0,0,Partial College,Manual,0,1,1,11356
S,M,10000,0,0,Partial College,Manual,0,1,1,11357
S,F,10000,0,0,Partial College,Manual,0,1,1,11358
S,M,10000,0,0,Partial College,Manual,0,1,1,11359
S,M,10000,0,0,Partial College,Manual,1,1,1,11360
M,F,10000,0,0,High School,Manual,1,2,0,11361
M,M,10000,0,0,High School,Manual,0,2,0,11362
S,M,10000,0,0,High School,Manual,0,2,1,11363
S,F,10000,1,1,High School,Manual,0,0,1,11364
S,F,10000,1,1,High School,Manual,0,0,1,11365
M,F,20000,0,0,Bachelors,Clerical,1,0,0,11366
M,M,20000,0,0,Bachelors,Clerical,1,0,0,11367
S,M,10000,1,1,High School,Manual,0,0,1,11368
M,F,20000,0,0,Bachelors,Clerical,0,0,0,11369
M,F,20000,0,0,Bachelors,Clerical,1,0,0,11370
M,F,20000,0,0,Bachelors,Clerical,1,0,0,11371
S,F,20000,0,0,Bachelors,Clerical,1,0,1,11372
M,F,30000,1,0,Bachelors,Clerical,1,0,0,11373
S,M,30000,1,0,Bachelors,Clerical,1,0,0,11374
M,M,30000,1,0,Bachelors,Clerical,1,0,0,11375
S,M,40000,1,0,Graduate Degree,Clerical,1,0,0,11376
M,M,30000,4,0,Graduate Degree,Clerical,1,0,0,11377
S,F,10000,1,1,High School,Manual,0,1,1,11378
M,M,10000,1,1,High School,Manual,1,1,1,11379
S,M,20000,2,0,Partial College,Manual,1,1,1,11380
M,F,20000,2,0,Partial College,Manual,1,1,1,11381
M,M,20000,2,0,Partial College,Manual,1,1,1,11382
M,F,30000,3,0,Graduate Degree,Clerical,1,0,0,11383
M,F,30000,3,0,Bachelors,Clerical,1,0,0,11384
S,M,30000,3,0,Bachelors,Clerical,1,0,0,11385
M,F,30000,3,0,Bachelors,Clerical,1,0,0,11386
S,F,40000,3,0,Graduate Degree,Clerical,1,0,1,11387
M,M,40000,3,0,Graduate Degree,Clerical,1,0,1,11388
S,M,10000,1,1,High School,Manual,0,1,0,11389
S,F,10000,1,1,High School,Manual,0,1,0,11390
S,F,10000,2,2,High School,Manual,1,0,0,11391
S,M,10000,2,2,High School,Manual,1,0,0,11392
S,M,10000,2,2,High School,Manual,1,0,0,11393
S,M,10000,2,2,High School,Manual,1,0,1,11394
S,F,30000,0,0,Bachelors,Clerical,1,0,1,11395
M,M,10000,2,2,High School,Manual,0,1,0,11396
S,F,20000,0,0,Partial College,Manual,0,1,0,11397
S,M,30000,0,0,Bachelors,Clerical,1,0,1,11398
S,F,30000,1,0,Bachelors,Clerical,1,0,0,11399
S,M,40000,0,0,Graduate Degree,Clerical,1,0,1,11400
M,F,40000,0,0,Graduate Degree,Clerical,1,0,1,11401
M,F,40000,0,0,Graduate Degree,Clerical,1,0,1,11402
S,F,40000,0,0,Graduate Degree,Clerical,1,0,1,11403
S,F,10000,3,0,Partial College,Manual,0,2,0,11404
S,F,10000,3,0,Partial College,Manual,0,2,0,11405
M,F,20000,2,0,Partial College,Manual,1,1,1,11406
M,M,20000,2,0,Partial College,Manual,1,1,0,11407
M,M,10000,2,1,High School,Manual,0,2,0,11408
S,F,10000,2,2,High School,Manual,1,1,1,11409
M,M,20000,1,1,Partial College,Manual,1,0,1,11410
M,M,80000,3,2,Partial College,Professional,0,1,0,11411
S,F,80000,4,2,Partial College,Professional,1,1,1,11412
M,F,80000,4,2,Partial College,Professional,0,1,1,11413
S,M,80000,4,2,Partial College,Professional,1,1,1,11414
S,M,90000,5,0,Partial College,Professional,0,2,0,11415
M,F,60000,3,1,Partial High School,Skilled Manual,1,4,1,11416
M,F,70000,5,1,High School,Professional,1,2,1,11417
S,M,90000,5,0,Partial College,Professional,0,2,0,11418
M,M,150000,3,4,Graduate Degree,Management,1,4,0,11419
M,M,100000,2,3,Bachelors,Management,1,4,1,11420
M,F,110000,3,4,Bachelors,Management,1,4,1,11421
M,M,170000,4,4,Bachelors,Management,1,3,1,11422
M,F,80000,4,2,Partial College,Professional,0,1,1,11423
M,F,80000,4,2,Partial College,Professional,1,2,0,11424
M,F,90000,4,2,High School,Professional,1,2,1,11425
M,M,110000,3,4,Bachelors,Management,1,4,0,11426
M,F,110000,2,5,Partial College,Professional,1,2,1,11427
S,F,120000,2,5,Bachelors,Management,1,2,1,11428
M,M,80000,4,1,Partial College,Professional,1,2,1,11429
M,F,90000,4,1,High School,Professional,1,2,0,11430
M,M,110000,4,5,Partial College,Professional,1,2,1,11431
M,F,80000,4,2,High School,Professional,1,2,1,11432
M,M,80000,5,2,High School,Professional,0,2,1,11433
M,M,170000,5,5,Partial College,Professional,1,4,0,11434
S,F,100000,3,4,Partial College,Management,1,4,0,11435
M,F,160000,3,5,Partial College,Management,0,4,0,11436
M,M,90000,4,1,High School,Management,1,3,0,11437
M,F,130000,4,5,High School,Management,1,4,0,11438
M,F,90000,4,1,High School,Management,0,3,1,11439
M,M,80000,5,0,Partial High School,Skilled Manual,0,2,0,11440
M,F,90000,5,0,Partial High School,Skilled Manual,0,2,0,11441
M,M,90000,5,0,Partial High School,Skilled Manual,1,2,0,11442
S,F,60000,0,0,Bachelors,Professional,0,4,1,11443
M,F,70000,0,0,Bachelors,Professional,1,3,1,11444
S,F,70000,0,0,Bachelors,Professional,0,3,1,11445
S,F,70000,0,0,Bachelors,Professional,0,3,1,11446
M,F,70000,0,0,Bachelors,Professional,1,4,1,11447
S,M,80000,0,0,Bachelors,Professional,1,3,1,11448
M,M,80000,0,0,Bachelors,Professional,1,3,1,11449
S,M,130000,4,5,High School,Management,1,4,1,11450
S,M,70000,0,0,Bachelors,Professional,0,4,1,11451
S,F,80000,0,0,Bachelors,Professional,0,3,1,11452
S,M,80000,0,0,Bachelors,Professional,0,3,1,11453
S,F,80000,0,0,Bachelors,Professional,0,3,1,11454
M,M,100000,0,5,High School,Management,1,2,1,11455
M,M,120000,5,5,Partial High School,Professional,1,4,1,11456
M,F,90000,0,0,Bachelors,Professional,1,3,1,11457
M,F,100000,0,5,High School,Management,1,2,0,11458
