CustomerKey,YearlyIncome,TotalSpend
11077,80000.00,8169.03
11078,40000.00,913.27
11079,160000.00,57.95
11080,170000.00,8204.02
11081,120000.00,104.26
11082,130000.00,3110.81
11083,130000.00,3137.32
11084,80000.00,3078.61
11085,60000.00,128.96
11086,70000.00,153.45
11087,70000.00,200.28
11088,80000.00,3176.78
11089,80000.00,3188.28
11090,90000.00,6704.08
11091,90000.00,1189.33
11092,90000.00,8110.02
11093,100000.00,8180.00
11094,70000.00,235.89
11095,70000.00,8158.01
11096,60000.00,8063.04
11097,60000.00,8099.03
11098,60000.00,88.96
11099,60000.00,8215.99
11100,60000.00,8172.51
11101,70000.00,8262.52
11102,80000.00,102.91
11103,70000.00,8182.50
11104,70000.00,8173.03
11105,70000.00,8095.99
11106,70000.00,8079.05
11107,90000.00,8171.01
11108,70000.00,8124.04
11109,70000.00,8245.01
11110,60000.00,8093.03
11111,60000.00,8137.00
11112,60000.00,8295.02
11113,70000.00,109.88
11114,70000.00,122.89
11115,70000.00,113.71
11116,70000.00,148.70
11117,70000.00,8184.99
11118,80000.00,123.80
11119,30000.00,85.22
11120,40000.00,8242.49
11121,70000.00,58.16
11122,70000.00,42.93
11123,70000.00,149.84
11124,80000.00,8129.02
11125,70000.00,79.69
11126,10000.00,4972.37
11127,40000.00,43.98
11128,40000.00,143.94
11129,40000.00,5873.26
11130,30000.00,37.29
11131,30000.00,165.91
11132,30000.00,2371.94
11133,30000.00,71.96
11134,10000.00,4911.83
11135,30000.00,2334.97
11136,40000.00,2380.47
11137,40000.00,202.57
11138,40000.00,78.97
11139,30000.00,83.97
11140,30000.00,39.99
11141,40000.00,113.96
11142,40000.00,980.77
11143,40000.00,48.56
11144,40000.00,2399.97
11145,40000.00,2309.97
11146,40000.00,112.93
11147,60000.00,8195.50
11148,40000.00,126.24
11149,40000.00,41.26
11150,40000.00,192.42
11151,60000.00,8087.31
11152,40000.00,2294.99
11153,40000.00,109.77
11154,40000.00,2319.99
11155,40000.00,2319.99
11156,40000.00,2389.97
11157,40000.00,41.28
11158,40000.00,2395.96
11159,40000.00,48.56
11160,40000.00,2322.28
11161,40000.00,93.95
11162,40000.00,2329.98
11163,40000.00,46.27
11164,40000.00,144.76
11165,60000.00,102.49
11166,70000.00,87.96
11167,80000.00,3126.33
11168,80000.00,3136.59
11169,90000.00,81.26
11170,90000.00,157.23
11171,100000.00,6716.55
11172,100000.00,128.94
11173,110000.00,102.49
11174,110000.00,48.56
11175,70000.00,6710.55
11176,90000.00,1320.01
11177,110000.00,135.25
11178,100000.00,144.76
11179,120000.00,125.44
11180,160000.00,138.45
11181,170000.00,41.28
11182,70000.00,81.26
11183,70000.00,46.27
11184,70000.00,68.25
11185,70000.00,1616.31
11186,70000.00,41.28
11187,60000.00,107.48
11188,60000.00,81.26
11189,60000.00,5944.22
11190,70000.00,46.27
11191,70000.00,6743.58
11192,60000.00,113.96
11193,60000.00,41.28
11194,60000.00,105.75
11195,60000.00,105.75
11196,60000.00,162.28
11197,70000.00,207.56
11198,70000.00,98.47
11199,70000.00,131.75
11200,70000.00,1463.38
11201,70000.00,180.94
11202,80000.00,73.98
11203,40000.00,801.77
11204,40000.00,77.27
11205,40000.00,37.29
11206,60000.00,77.27
11207,60000.00,77.27
11208,60000.00,134.23
11209,60000.00,37.29
11210,70000.00,70.76
11211,40000.00,793.55
11212,40000.00,827.19
11213,60000.00,77.27
11214,60000.00,162.28
11215,40000.00,1155.52
11216,60000.00,5948.24
11217,60000.00,5953.25
11218,60000.00,39.58
11219,60000.00,39.58
11220,60000.00,50.23
11221,70000.00,46.27
11222,80000.00,207.96
11223,70000.00,1205.38
11224,70000.00,6685.59
11225,60000.00,73.25
11226,60000.00,37.29
11227,60000.00,5910.22
11228,60000.00,77.27
11229,70000.00,81.26
11230,70000.00,54.22
11231,60000.00,64.26
11232,60000.00,39.58
11233,70000.00,179.43
11234,70000.00,76.27
11235,70000.00,138.45
11236,70000.00,113.96
11237,130000.00,10566.38
11238,130000.00,7542.77
11239,130000.00,7511.55
11240,160000.00,7586.23
11241,100000.00,11469.1882
11242,110000.00,11068.0082
11243,150000.00,7164.25
11244,170000.00,7175.75
11245,120000.00,10580.35
11246,120000.00,10575.33
11247,130000.00,7131.51
11248,110000.00,38.47
11249,130000.00,9890.27
11250,170000.00,7116.25
11251,30000.00,2318.96
11252,90000.00,6685.56
11253,60000.00,696.61
11254,70000.00,203.92
11255,70000.00,113.96
11256,70000.00,81.26
11257,120000.00,6677.38
11258,120000.00,49.23
11259,100000.00,6770.60
11260,110000.00,81.26
11261,130000.00,6650.60
11262,80000.00,1126.82
11263,90000.00,6754.06
11264,90000.00,3182.27
11265,90000.00,2351.96
11266,90000.00,5922.23
11267,120000.00,5943.23
11268,130000.00,98.25
11269,130000.00,42.28
11270,130000.00,5984.22
11271,150000.00,5973.24
11272,70000.00,5975.23
11273,90000.00,273.23
11274,50000.00,5888.24
11275,80000.00,5955.23
11276,80000.00,988.32
11277,80000.00,1434.99
11278,90000.00,5908.25
11279,90000.00,44.57
11280,90000.00,77.27
11281,110000.00,5921.19
11282,90000.00,5998.73
11283,110000.00,44.57
11284,110000.00,55.48
11285,120000.00,127.76
11286,170000.00,5954.22
11287,70000.00,1167.07
11288,110000.00,77.27
11289,130000.00,5905.48
11290,130000.00,5933.25
11291,130000.00,5873.26
11292,150000.00,5910.22
11293,60000.00,85.22
11294,60000.00,42.28
11295,80000.00,6058.25
11296,50000.00,5897.53
11297,70000.00,5948.24
11298,70000.00,5922.23
11299,70000.00,6015.24
11300,80000.00,1500.52
11301,80000.00,131.26
11302,90000.00,5938.19
11303,90000.00,5875.55
11304,100000.00,122.21
11305,110000.00,77.27
11306,110000.00,42.28
11307,80000.00,5964.22
11308,60000.00,94.26
11309,60000.00,42.28
11310,70000.00,77.27
11311,70000.00,77.27
11312,70000.00,42.28
11313,70000.00,44.57
11314,70000.00,47.53
11315,70000.00,42.28
11316,60000.00,2349.98
11317,40000.00,5873.26
11318,40000.00,44.57
11319,70000.00,5930.23
11320,80000.00,72.21
11321,90000.00,37.29
11322,90000.00,44.57
11323,120000.00,6074.54
11324,90000.00,5945.23
11325,90000.00,6044.20
11326,130000.00,5948.24
11327,90000.00,5915.54
11328,90000.00,4718.04
11329,90000.00,5898.26
11330,110000.00,1136.35
11331,90000.00,1329.31
11332,10000.00,5754.97
11333,20000.00,8163.31
11334,10000.00,8154.02
11335,10000.00,5744.25
11336,20000.00,4441.3796
11337,10000.00,8162.00
11338,20000.00,5744.95
11339,20000.00,4379.0782
11340,10000.00,4413.0582
11341,20000.00,8192.00
11342,30000.00,48.97
11343,10000.00,8221.99
11344,10000.00,8119.81
11345,10000.00,4404.0882
11346,10000.00,4503.0482
11347,10000.00,13.98
11348,10000.00,67.97
11349,10000.00,67.97
11350,30000.00,38.47
11351,20000.00,8068.03
11352,10000.00,13.98
11353,30000.00,8078.02
11354,20000.00,22.97
11355,40000.00,13.98
11356,10000.00,5069.29
11357,10000.00,4943.80
11358,10000.00,5034.78
11359,10000.00,4960.07
11360,10000.00,5025.80
11361,10000.00,114.96
11362,10000.00,77.27
11363,10000.00,5035.81
11364,10000.00,4921.82
11365,10000.00,5024.79
11366,20000.00,77.27
11367,20000.00,86.26
11368,10000.00,5106.24
11369,20000.00,118.96
11370,20000.00,79.97
11371,20000.00,74.98
11372,20000.00,4965.81
11373,30000.00,38.47
11374,30000.00,68.97
11375,30000.00,13.98
11376,40000.00,78.48
11377,30000.00,83.97
11378,10000.00,4436.3896
11379,10000.00,4426.0582
11380,20000.00,5837.91
11381,20000.00,8161.02
11382,20000.00,4344.0882
11383,30000.00,48.97
11384,30000.00,48.97
11385,30000.00,13.98
11386,30000.00,68.97
11387,40000.00,6958.80
11388,40000.00,6986.75
11389,10000.00,68.97
11390,10000.00,48.97
11391,10000.00,33.98
11392,10000.00,28.99
11393,10000.00,13.98
11394,10000.00,8161.97
11395,30000.00,5729.97
11396,10000.00,28.99
11397,20000.00,38.47
11398,30000.00,8114.04
11399,30000.00,13.98
11400,40000.00,6967.78
11401,40000.00,5020.8696
11402,40000.00,5059.3296
11403,40000.00,5033.1396
11404,10000.00,33.98
11405,10000.00,53.99
11406,20000.00,4415.0382
11407,20000.00,53.99
11408,10000.00,34.47
11409,10000.00,4444.0682
11410,20000.00,4464.0682
11411,80000.00,38.47
11412,80000.00,9879.96
11413,80000.00,7189.75
11414,80000.00,7191.77
11415,90000.00,13.98
11416,60000.00,4928.0582
11417,70000.00,11248.4582
11418,90000.00,39.98
11419,150000.00,231.75
11420,100000.00,11200.7696
11421,110000.00,9780.04
11422,170000.00,7075.27
11423,80000.00,9904.97
11424,80000.00,43.98
11425,90000.00,10528.6282
11426,110000.00,34.99
11427,110000.00,9917.99
11428,120000.00,9954.26
11429,80000.00,10468.3796
11430,90000.00,84.98
11431,110000.00,9912.98
11432,80000.00,9330.1996
11433,80000.00,12909.6682
11434,170000.00,70.46
11435,100000.00,34.99
11436,160000.00,81.76
11437,90000.00,53.99
11438,130000.00,34.99
11439,90000.00,12489.1696
11440,80000.00,78.48
11441,90000.00,43.98
11442,90000.00,34.99
11443,60000.00,8235.00
11444,70000.00,8136.02
11445,70000.00,8098.03
11446,70000.00,8237.01
11447,70000.00,8078.02
11448,80000.00,8132.01
11449,80000.00,8130.32
11450,130000.00,8173.26
11451,70000.00,8249.49
11452,80000.00,8183.04
11453,80000.00,8176.98
11454,80000.00,8089.04
11455,100000.00,8142.03
11456,120000.00,8224.46
11457,90000.00,8211.48
11458,100000.00,96.89
11459,80000.00,8141.33
11460,90000.00,8137.52
11461,90000.00,8089.04
11462,110000.00,8116.33
11463,110000.00,47.92
11464,90000.00,8128.51
11465,90000.00,8158.04
11466,150000.00,90.19
11467,170000.00,55.87
11468,40000.00,6959.82
11469,10000.00,25.48
11470,20000.00,4344.0882
11471,30000.00,53.99
11472,60000.00,8165.82
11473,20000.00,62.98
11474,20000.00,49.97
11475,30000.00,69.46
11476,40000.00,53.99
11477,30000.00,34.99
11478,30000.00,53.99
11479,40000.00,4970.6096
11480,40000.00,4935.3596
11481,40000.00,4978.0482
11482,30000.00,8143.03
11483,40000.00,4966.3896
11484,40000.00,4985.3796
11485,40000.00,7048.30
11486,10000.00,34.99
11487,10000.00,53.99
11488,20000.00,8090.33
11489,20000.00,8127.51
11490,20000.00,53.99
11491,20000.00,8158.01
11492,30000.00,4404.0782
11493,40000.00,6958.80
11494,40000.00,6973.81
11495,40000.00,13.98
11496,40000.00,7013.79
11497,40000.00,34.99
11498,40000.00,561.53
11499,40000.00,192.21
11500,40000.00,654.27
11501,40000.00,872.25
11502,40000.00,1026.29
11503,50000.00,61.78
11504,40000.00,44.57
11505,60000.00,846.77
11506,60000.00,748.60
11507,60000.00,653.06
11508,60000.00,77.27
11509,30000.00,196.29
11510,30000.00,258.15
11511,30000.00,35.00
11512,20000.00,2319.99
11513,20000.00,863.95
11514,30000.00,39.99
11515,30000.00,5930.23
11516,30000.00,5915.54
11517,40000.00,101.76
11518,40000.00,82.20
11519,40000.00,757.27
11520,40000.00,822.97
11521,40000.00,44.57
11522,80000.00,5888.24
11523,40000.00,2376.96
11524,40000.00,42.28
11525,40000.00,5935.55
11526,40000.00,2376.96
11527,40000.00,39.58
11528,40000.00,5959.71
11529,40000.00,5944.21
11530,40000.00,573.80
11531,40000.00,5875.55
11532,40000.00,44.57
11533,40000.00,37.29
11534,60000.00,5919.73
11535,60000.00,5919.21
11536,60000.00,5915.54
11537,60000.00,5873.26
11538,60000.00,5895.24
11539,60000.00,5997.73
11540,60000.00,5958.18
11541,60000.00,5973.24
11542,20000.00,34.47
11543,20000.00,53.99
11544,30000.00,88.98
11545,30000.00,53.99
11546,30000.00,4460.3796
11547,40000.00,4976.3796
11548,40000.00,7068.27
11549,40000.00,7023.77
11550,40000.00,5241.4282
11551,10000.00,53.99
11552,20000.00,34.99
11553,20000.00,21.49
11554,10000.00,34.99
11555,40000.00,34.99
11556,20000.00,21.49
11557,30000.00,21.49
11558,30000.00,21.49
11559,30000.00,34.99
11560,30000.00,53.99
11561,10000.00,4344.0882
11562,20000.00,84.98
11563,20000.00,53.99
11564,20000.00,4369.0882
11565,20000.00,34.99
11566,40000.00,1006.83
11567,40000.00,53.99
11568,20000.00,6789.4596
11569,30000.00,34.99
11570,30000.00,4391.4096
11571,30000.00,4390.6796
11572,30000.00,4450.3696
11573,20000.00,34.99
11574,20000.00,34.99
11575,20000.00,6806.1182
11576,30000.00,4486.4096
11577,30000.00,4344.0882
11578,10000.00,4406.3896
11579,20000.00,43.98
11580,30000.00,34.99
11581,40000.00,237.19
11582,30000.00,4379.0782
11583,30000.00,4381.3896
11584,40000.00,8.99
11585,40000.00,49.99
11586,40000.00,8.99
11587,30000.00,4540.3782
11588,30000.00,4369.0882
11589,40000.00,14.98
11590,30000.00,4384.0682
11591,30000.00,5895.24
11592,20000.00,5875.55
11593,20000.00,5908.25
11594,20000.00,88.98
11595,20000.00,34.99
11596,40000.00,49.97
11597,30000.00,34.99
11598,30000.00,4548.6996
11599,20000.00,5957.22
11600,30000.00,34.99
11601,30000.00,5932.22
11602,30000.00,34.99
11603,30000.00,6767.1382
11604,30000.00,6786.1182
11605,20000.00,4344.0882
11606,10000.00,5922.23
11607,20000.00,5913.24
11608,20000.00,34.99
11609,30000.00,6872.1082
11610,30000.00,6786.4396
11611,20000.00,5873.26
11612,20000.00,6795.1182
11613,30000.00,4381.3896
11614,30000.00,4438.0582
11615,40000.00,5205.7096
11616,40000.00,5253.6496
11617,60000.00,5935.55
11618,60000.00,2369.96
11619,50000.00,634.84
11620,50000.00,44.57
11621,50000.00,123.24
11622,50000.00,133.75
11623,50000.00,5948.24
11624,50000.00,5898.26
11625,50000.00,5913.25
11626,50000.00,5958.74
11627,60000.00,50.23
11628,40000.00,5875.55
11629,40000.00,5930.23
11630,60000.00,5933.26
11631,60000.00,707.50
11632,60000.00,1002.09
11633,40000.00,77.27
11634,60000.00,39.58
11635,60000.00,42.28
11636,60000.00,77.27
11637,70000.00,39.58
11638,70000.00,77.27
11639,70000.00,127.26
11640,50000.00,409.12
11641,50000.00,303.20
11642,50000.00,481.87
11643,50000.00,100.22
11644,40000.00,42.28
11645,40000.00,153.46
11646,40000.00,113.48
11647,40000.00,2365.94
11648,60000.00,88.99
11649,60000.00,91.28
11650,60000.00,128.97
11651,60000.00,226.43
11652,60000.00,310.93
11653,60000.00,178.96
11654,60000.00,5955.23
11655,70000.00,50.23
11656,70000.00,77.27
11657,70000.00,178.96
11658,60000.00,111.96
11659,60000.00,235.01
11660,60000.00,324.72
11661,60000.00,287.70
11662,60000.00,100.27
11663,70000.00,5948.24
11664,70000.00,5948.24
11665,70000.00,5930.23
11666,80000.00,5948.24
11667,70000.00,91.28
11668,70000.00,128.97
11669,70000.00,113.21
11670,70000.00,100.27
11671,60000.00,5970.23
11672,60000.00,113.48
11673,60000.00,191.95
11674,60000.00,96.27
11675,70000.00,5898.26
11676,80000.00,91.28
11677,60000.00,298.21
11678,70000.00,5900.55
11679,70000.00,145.96
11680,70000.00,93.98
11681,70000.00,137.96
11682,70000.00,252.98
11683,80000.00,5897.23
11684,40000.00,93.98
11685,40000.00,110.92
11686,40000.00,128.97
11687,40000.00,97.98
11688,80000.00,5967.23
11689,80000.00,88.99
11690,60000.00,5904.23
11691,40000.00,119.96
11692,40000.00,93.98
11693,50000.00,2294.99
11694,50000.00,128.97
11695,50000.00,128.97
11696,50000.00,5873.26
11697,50000.00,152.96
11698,50000.00,255.94
11699,60000.00,122.25
11700,60000.00,137.96
11701,60000.00,128.97
11702,60000.00,96.27
11703,60000.00,100.27
11704,60000.00,93.98
11705,60000.00,5940.54
11706,60000.00,88.99
11707,60000.00,6025.22
11708,60000.00,5908.50
11709,60000.00,325.89
11710,40000.00,97.98
11711,70000.00,1103.78
11712,70000.00,127.80
11713,70000.00,191.95
11714,70000.00,93.98
11715,70000.00,143.97
11716,40000.00,96.27
11717,60000.00,192.47
11718,60000.00,100.27
11719,40000.00,287.20
11720,40000.00,117.95
11721,40000.00,105.26
11722,60000.00,153.46
11723,70000.00,192.53
11724,70000.00,210.09
11725,70000.00,123.91
11726,70000.00,223.44
11727,60000.00,5962.24
11728,60000.00,109.97
11729,60000.00,159.96
11730,60000.00,134.46
11731,60000.00,121.45
11732,60000.00,173.47
11733,60000.00,194.98
11734,60000.00,135.78
11735,60000.00,109.97
11736,60000.00,166.45
11737,60000.00,77.27
11738,60000.00,331.68
11739,70000.00,4758.03
11740,70000.00,384.09
11741,80000.00,6079.24
11742,60000.00,5915.54
11743,60000.00,5898.26
11744,60000.00,72.28
11745,60000.00,5948.23
11746,60000.00,77.27
11747,70000.00,115.96
11748,70000.00,131.54
11749,80000.00,47.92
11750,60000.00,8148.02
11751,80000.00,8215.02
11752,80000.00,137.87
11753,80000.00,47.92
11754,90000.00,8163.53
11755,60000.00,46.25
11756,60000.00,8078.02
11757,70000.00,58.05
11758,70000.00,58.05
11759,110000.00,8054.05
11760,70000.00,274.92
11761,70000.00,8149.49
11762,70000.00,8228.01
11763,80000.00,76.65
11764,80000.00,8129.02
11765,80000.00,8143.03
11766,90000.00,8280.48
11767,90000.00,8319.51
11768,90000.00,8139.04
11769,50000.00,478.95
11770,50000.00,77.27
11771,50000.00,94.48
11772,50000.00,5913.24
11773,50000.00,5983.74
11774,50000.00,5900.55
11775,50000.00,5913.25
11776,50000.00,6079.24
11777,40000.00,5915.53
11778,60000.00,5873.26
11779,60000.00,5873.26
11780,60000.00,5973.24
11781,60000.00,134.46
11782,60000.00,151.75
11783,60000.00,109.97
11784,40000.00,272.69
11785,40000.00,74.98
11786,60000.00,126.96
11787,60000.00,109.97
11788,70000.00,255.27
11789,50000.00,72.28
11790,50000.00,146.95
11791,60000.00,119.98
11792,40000.00,119.98
11793,40000.00,101.96
11794,40000.00,77.27
11795,40000.00,74.98
11796,40000.00,5995.20
11797,40000.00,5972.73
11798,40000.00,5953.25
11799,40000.00,5921.19
11800,60000.00,77.27
11801,60000.00,87.28
11802,60000.00,215.29
11803,60000.00,229.95
11804,60000.00,133.96
11805,70000.00,128.97
11806,70000.00,96.27
11807,70000.00,153.46
11808,60000.00,610.19
11809,60000.00,5929.23
11810,40000.00,5973.24
11811,40000.00,5898.26
11812,40000.00,5900.55
11813,40000.00,5953.25
11814,60000.00,101.26
11815,70000.00,5948.24
11816,70000.00,5933.25
11817,70000.00,5898.26
11818,70000.00,5954.22
11819,70000.00,96.27
11820,60000.00,232.71
11821,60000.00,151.43
11822,60000.00,87.28
11823,70000.00,262.42
11824,70000.00,240.01
11825,70000.00,5900.55
11826,70000.00,5898.26
11827,60000.00,512.47
11828,70000.00,93.98
11829,70000.00,130.94
11830,80000.00,5930.23
11831,80000.00,5933.25
11832,40000.00,124.97
11833,80000.00,240.01
11834,80000.00,5908.25
11835,80000.00,4772.30
11836,80000.00,69.99
11837,80000.00,5923.23
11838,80000.00,135.21
11839,60000.00,5955.23
11840,60000.00,87.28
11841,40000.00,307.97
11842,50000.00,98.97
11843,50000.00,116.76
11844,50000.00,124.97
11845,30000.00,197.20
11846,50000.00,84.99
11847,50000.00,124.97
11848,50000.00,92.27
11849,50000.00,257.97
11850,50000.00,149.46
11851,60000.00,84.99
11852,60000.00,124.97
11853,60000.00,89.98
11854,60000.00,5985.20
11855,60000.00,89.98
11856,60000.00,133.96
11857,60000.00,124.97
11858,40000.00,84.99
11859,70000.00,72.28
11860,70000.00,69.99
11861,70000.00,286.30
11862,40000.00,209.23
11863,60000.00,47.94
11864,60000.00,47.94
11865,60000.00,114.92
11866,60000.00,42.95
11867,40000.00,82.93
11868,70000.00,247.01
11869,70000.00,269.08
11870,70000.00,242.27
11871,70000.00,69.99
11872,60000.00,5948.24
11873,60000.00,5923.23
11874,60000.00,72.21
11875,60000.00,292.70
11876,60000.00,82.93
11877,60000.00,42.95
11878,60000.00,82.93
11879,60000.00,107.42
11880,60000.00,50.23
11881,60000.00,148.40
11882,60000.00,47.94
11883,70000.00,77.27
11884,80000.00,109.97
11885,80000.00,5900.55
11886,60000.00,5897.53
11887,60000.00,82.93
11888,60000.00,2376.96
11889,60000.00,50.23
11890,70000.00,130.44
11891,70000.00,109.97
11892,90000.00,8119.03
11893,90000.00,8123.03
11894,100000.00,8223.00
11895,100000.00,8149.04
11896,100000.00,8117.97
11897,60000.00,8203.02
11898,80000.00,8179.03
11899,80000.00,8189.50
11900,90000.00,8257.01
11901,60000.00,8248.01
11902,70000.00,63.04
11903,110000.00,8108.04
11904,110000.00,8214.50
11905,110000.00,8155.98
11906,80000.00,8151.00
11907,80000.00,8135.33
11908,80000.00,8079.05
11909,80000.00,8105.31
11910,80000.00,8113.03
11911,80000.00,62.46
11912,60000.00,8095.32
11913,60000.00,41.26
11914,70000.00,8165.96
11915,70000.00,8143.00
11916,70000.00,8178.51
11917,70000.00,8121.33
11918,60000.00,8204.99
11919,60000.00,8171.52
11920,60000.00,8156.32
11921,60000.00,63.24
11922,90000.00,275.50
11923,60000.00,42.95
11924,60000.00,5897.23
11925,40000.00,5968.23
11926,40000.00,47.94
11927,40000.00,51.94
11928,60000.00,47.94
11929,30000.00,4965.78
11930,20000.00,5035.81
11931,70000.00,234.44
11932,70000.00,136.25
11933,40000.00,5933.26
11934,40000.00,5994.72
11935,30000.00,35.00
11936,30000.00,42.28
11937,30000.00,5888.24
11938,60000.00,42.95
11939,60000.00,5976.74
11940,100000.00,69.99
11941,60000.00,108.96
11942,20000.00,4792.29
11943,20000.00,4734.29
11944,30000.00,4776.27
11945,20000.00,5910.55
11946,30000.00,4697.31
11947,30000.00,4747.30
11948,30000.00,82.26
11949,70000.00,69.99
11950,70000.00,109.97
11951,40000.00,63.52
11952,80000.00,8169.00
11953,40000.00,65.25
11954,60000.00,5910.55
11955,60000.00,5953.25
11956,40000.00,5873.26
11957,60000.00,91.25
11958,70000.00,159.96
11959,70000.00,138.48
11960,70000.00,74.98
11961,70000.00,72.28
11962,60000.00,102.97
11963,80000.00,8068.03
11964,70000.00,8173.53
11965,70000.00,118.74
11966,70000.00,55.76
11967,80000.00,8153.02
11968,130000.00,8079.05
11969,130000.00,8173.02
11970,80000.00,109.97
11971,80000.00,134.46
11972,60000.00,65.25
11973,60000.00,88.96
11974,60000.00,113.45
11975,60000.00,208.96
11976,120000.00,8087.31
11977,130000.00,8212.50
11978,130000.00,74.98
11979,80000.00,4813.76
11980,60000.00,108.46
11981,60000.00,119.76
11982,60000.00,105.26
11983,70000.00,5873.26
11984,80000.00,4730.32
11985,80000.00,89.98
11986,70000.00,8245.23
11987,90000.00,279.23
11988,70000.00,8078.02
11989,70000.00,8139.53
11990,70000.00,8164.01
11991,60000.00,8128.02
11992,60000.00,8123.03
11993,60000.00,8131.32
11994,110000.00,8169.03
11995,60000.00,8249.01
11996,60000.00,7058.70
11997,60000.00,7029.78
11998,60000.00,6962.10
11999,60000.00,7043.27
12000,70000.00,8183.00
12001,80000.00,8113.01
12002,70000.00,8145.33
12003,70000.00,8256.50
12004,70000.00,8114.04
12005,60000.00,6984.81
12006,70000.00,144.74
12007,60000.00,7023.78
12008,70000.00,80.25
12009,80000.00,8195.50
12010,80000.00,8203.50
12011,30000.00,4735.81
12012,60000.00,73.96
12013,30000.00,3949.97
12014,10000.00,3949.97
12015,30000.00,61.97
12016,40000.00,5913.24
12017,40000.00,2339.97
12018,30000.00,6011.74
12019,30000.00,74.98
12020,30000.00,804.47
12021,10000.00,4043.46
12022,40000.00,136.25
12023,30000.00,5933.26
12024,40000.00,83.97
12025,40000.00,5910.55
12026,40000.00,5976.74
12027,40000.00,5913.24
12028,30000.00,39.99
12029,30000.00,54.97
12030,40000.00,5970.23
12031,30000.00,769.49
12032,30000.00,614.96
12033,40000.00,5949.23
12034,40000.00,74.54
12035,40000.00,81.24
12036,40000.00,69.55
12037,40000.00,7107.10
12038,40000.00,91.75
12039,70000.00,8213.00
12040,40000.00,51.27
12041,40000.00,5998.23
12042,40000.00,5975.23
12043,40000.00,103.97
12044,40000.00,105.95
12045,40000.00,65.97
12046,40000.00,43.99
12047,40000.00,43.99
12048,70000.00,133.96
12049,80000.00,171.44
12050,110000.00,6023.73
12051,120000.00,89.98
12052,120000.00,5935.55
12053,130000.00,5973.24
12054,90000.00,402.53
12055,90000.00,104.19
12056,120000.00,253.90
12057,120000.00,87.28
12058,130000.00,5936.20
12059,130000.00,5930.23
12060,150000.00,4811.54
12061,160000.00,140.17
12062,70000.00,87.28
12063,70000.00,84.99
12064,70000.00,122.42
12065,70000.00,92.27
12066,70000.00,84.99
12067,70000.00,133.96
12068,70000.00,93.98
12069,70000.00,5897.53
12070,70000.00,84.99
12071,70000.00,5973.24
12072,70000.00,5951.18
12073,70000.00,133.96
12074,70000.00,261.38
12075,60000.00,5933.26
12076,70000.00,5873.26
12077,70000.00,174.68
12078,60000.00,5975.23
12079,60000.00,6008.20
12080,60000.00,2354.99
12081,60000.00,2366.96
12082,70000.00,5913.24
12083,70000.00,5993.26
12084,60000.00,5985.21
12085,60000.00,108.46
12086,60000.00,2294.99
12087,70000.00,92.27
12088,70000.00,170.94
12089,70000.00,4710.03
12090,40000.00,2350.96
12091,40000.00,83.97
12092,40000.00,51.27
12093,60000.00,46.28
12094,60000.00,5962.52
12095,60000.00,56.93
12096,60000.00,5900.55
12097,60000.00,238.20
12098,60000.00,83.97
12099,60000.00,43.99
12100,60000.00,129.47
12101,70000.00,92.27
12102,70000.00,5903.19
12103,70000.00,5997.73
12104,70000.00,5908.25
12105,70000.00,5993.26
12106,40000.00,169.54
12107,40000.00,222.23
12108,60000.00,5946.20
12109,60000.00,5930.23
12110,60000.00,5888.24
12111,60000.00,194.98
